Research Paper Proposal (291468),Research Paper Outline and Introduction (291483),Short Answer Take-Home #1 (291497),Q1,Q2,Q3,Q4,Q5,Q6,Short Answer Take-Home #2 (291501),Final Research Paper (291619),Week 2 Quiz (292836),Week 4 Quiz (295116),Quiz - Week 7 (296852),Assignments Current Points,Assignments Final Points,Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Current Points,Final Points,Current Score,Unposted Current Score,Final Score,Unposted Final Score
0,,27.5,,7.5,8,7,,5,,,23.67,22,,73.17,73.17,93.2,82.21,17.63,28.25,73.17,73.17,93.2,82.21,17.63,28.25
0,,34.5,10,,7.5,8,9,,,,22.5,23,,80,80,92.86,89.89,17.57,30.89,80,80,92.86,89.89,17.57,30.89
0,,,,,,,,,,,7.67,11,,18.67,18.67,38.1,38.1,7.21,7.21,18.67,18.67,38.1,38.1,7.21,7.21
0,,35,8,,10,8,,9,,,25,20,,80,80,91.84,89.89,17.37,30.89,80,80,91.84,89.89,17.37,30.89
0,,29,,7,9,8,,5,,,16.5,20,,65.5,65.5,74.49,73.6,14.09,25.29,65.5,65.5,74.49,73.6,14.09,25.29
0,,30,,7,7,9,7,,,,20,20,,70,70,81.63,78.65,15.44,27.03,70,70,81.63,78.65,15.44,27.03
0,,37.5,10,,8.5,9,10,,,,22,24,,83.5,83.5,93.88,93.82,17.76,32.24,83.5,83.5,93.88,93.82,17.76,32.24
0,,30,5,,8,9,8,,,,24,20,,74,74,89.8,83.15,16.99,28.57,74,74,89.8,83.15,16.99,28.57
0,,30.5,,,7.5,6,8,9,,,23.67,20,,74.17,74.17,89.12,83.34,16.86,28.64,74.17,74.17,89.12,83.34,16.86,28.64
0,,35.5,,,10,9,10,6.5,,,22.2,20,,77.7,77.7,86.12,87.3,16.29,30,77.7,77.7,86.12,87.3,16.29,30
0,,28.5,4,,8.5,,9,7,,,24,21,,73.5,73.5,91.84,82.58,17.37,28.38,73.5,73.5,91.84,82.58,17.37,28.38
0,,34,10,,8,,8,8,,,21,24,,79,79,91.84,88.76,17.37,30.5,79,79,91.84,88.76,17.37,30.5
0,,28,6,,8,6,8,,,,19.5,24,,71.5,71.5,88.78,80.34,16.8,27.61,71.5,71.5,88.78,80.34,16.8,27.61
0,,32,,8,9,5,,10,,,20.2,22,,74.2,74.2,86.12,83.37,16.29,28.65,74.2,74.2,86.12,83.37,16.29,28.65
0,,28.5,9,,7.5,4,8,,,,20.17,18,,66.67,66.67,77.9,74.91,14.74,25.74,66.67,66.67,77.9,74.91,14.74,25.74
0,,38.5,,,9,9.5,10,10,,,25,22,,85.5,85.5,95.92,96.07,18.15,33.01,85.5,85.5,95.92,96.07,18.15,33.01
0,,37,10,,9,8,10,,,,25,23,,85,85,97.96,95.51,18.53,32.82,85,85,97.96,95.51,18.53,32.82
